prompt_index,image_path,pickscore_score
83,../HiDream-I1/output/full/image_330.png,23.099293
83,../HiDream-I1/output/full/image_331.png,22.90897
83,../HiDream-I1/output/full/image_332.png,22.670265
84,../HiDream-I1/output/full/image_333.png,23.197931
84,../HiDream-I1/output/full/image_334.png,23.391054
84,../HiDream-I1/output/full/image_335.png,23.347755
84,../HiDream-I1/output/full/image_336.png,23.384241
85,../HiDream-I1/output/full/image_337.png,22.893417
85,../HiDream-I1/output/full/image_338.png,22.411518
85,../HiDream-I1/output/full/image_339.png,22.548124
85,../HiDream-I1/output/full/image_340.png,22.896927
86,../HiDream-I1/output/full/image_341.png,20.929249
86,../HiDream-I1/output/full/image_342.png,20.677538
86,../HiDream-I1/output/full/image_343.png,21.098188
86,../HiDream-I1/output/full/image_344.png,20.435291
87,../HiDream-I1/output/full/image_345.png,20.685966
87,../HiDream-I1/output/full/image_346.png,20.659586
87,../HiDream-I1/output/full/image_347.png,20.924263
87,../HiDream-I1/output/full/image_348.png,20.276457
88,../HiDream-I1/output/full/image_349.png,22.23343
88,../HiDream-I1/output/full/image_350.png,20.289364
88,../HiDream-I1/output/full/image_351.png,22.137142
88,../HiDream-I1/output/full/image_352.png,22.252949
89,../HiDream-I1/output/full/image_353.png,19.058907
89,../HiDream-I1/output/full/image_354.png,19.038269
89,../HiDream-I1/output/full/image_355.png,18.863565
89,../HiDream-I1/output/full/image_356.png,19.210722
90,../HiDream-I1/output/full/image_357.png,21.928846
90,../HiDream-I1/output/full/image_358.png,21.791235
90,../HiDream-I1/output/full/image_359.png,21.928259
90,../HiDream-I1/output/full/image_360.png,22.289577
91,../HiDream-I1/output/full/image_361.png,22.513271
91,../HiDream-I1/output/full/image_362.png,21.97922
91,../HiDream-I1/output/full/image_363.png,22.588396
91,../HiDream-I1/output/full/image_364.png,22.36994
92,../HiDream-I1/output/full/image_365.png,21.308804
92,../HiDream-I1/output/full/image_366.png,21.15225
92,../HiDream-I1/output/full/image_367.png,21.985483
92,../HiDream-I1/output/full/image_368.png,21.864817
93,../HiDream-I1/output/full/image_369.png,22.247992
93,../HiDream-I1/output/full/image_370.png,21.76021
93,../HiDream-I1/output/full/image_371.png,21.881565
93,../HiDream-I1/output/full/image_372.png,22.347914
94,../HiDream-I1/output/full/image_373.png,22.875725
94,../HiDream-I1/output/full/image_374.png,23.165295
94,../HiDream-I1/output/full/image_375.png,22.786139
94,../HiDream-I1/output/full/image_376.png,23.2028
95,../HiDream-I1/output/full/image_377.png,23.263313
95,../HiDream-I1/output/full/image_378.png,23.043081
95,../HiDream-I1/output/full/image_379.png,22.956345
95,../HiDream-I1/output/full/image_380.png,22.771711
96,../HiDream-I1/output/full/image_381.png,21.034952
96,../HiDream-I1/output/full/image_382.png,20.984457
96,../HiDream-I1/output/full/image_383.png,20.891058
96,../HiDream-I1/output/full/image_384.png,21.089108
97,../HiDream-I1/output/full/image_385.png,22.55848
97,../HiDream-I1/output/full/image_386.png,23.80195
97,../HiDream-I1/output/full/image_387.png,23.063883
97,../HiDream-I1/output/full/image_388.png,21.69644
98,../HiDream-I1/output/full/image_389.png,23.296892
98,../HiDream-I1/output/full/image_390.png,22.983437
98,../HiDream-I1/output/full/image_391.png,22.747755
98,../HiDream-I1/output/full/image_392.png,23.532084
99,../HiDream-I1/output/full/image_393.png,23.307758
99,../HiDream-I1/output/full/image_394.png,22.070423
99,../HiDream-I1/output/full/image_395.png,23.382578
99,../HiDream-I1/output/full/image_396.png,24.313463
100,../HiDream-I1/output/full/image_397.png,23.592258
100,../HiDream-I1/output/full/image_398.png,23.808298
100,../HiDream-I1/output/full/image_399.png,24.00533
100,../HiDream-I1/output/full/image_400.png,23.732693
101,../HiDream-I1/output/full/image_401.png,21.958344
101,../HiDream-I1/output/full/image_402.png,22.259481
101,../HiDream-I1/output/full/image_403.png,22.417086
101,../HiDream-I1/output/full/image_404.png,22.007488
102,../HiDream-I1/output/full/image_405.png,22.424961
102,../HiDream-I1/output/full/image_406.png,21.418129
102,../HiDream-I1/output/full/image_407.png,22.829987
102,../HiDream-I1/output/full/image_408.png,23.137943
103,../HiDream-I1/output/full/image_409.png,25.253136
103,../HiDream-I1/output/full/image_410.png,25.35796
103,../HiDream-I1/output/full/image_411.png,24.89596
103,../HiDream-I1/output/full/image_412.png,25.110342
104,../HiDream-I1/output/full/image_413.png,18.984684
104,../HiDream-I1/output/full/image_414.png,18.696257
104,../HiDream-I1/output/full/image_415.png,18.705347
104,../HiDream-I1/output/full/image_416.png,18.864128
105,../HiDream-I1/output/full/image_417.png,23.063831
105,../HiDream-I1/output/full/image_418.png,23.086536
105,../HiDream-I1/output/full/image_419.png,23.01394
105,../HiDream-I1/output/full/image_420.png,23.324703
106,../HiDream-I1/output/full/image_421.png,25.641092
106,../HiDream-I1/output/full/image_422.png,25.678263
106,../HiDream-I1/output/full/image_423.png,25.659334
106,../HiDream-I1/output/full/image_424.png,25.363201
107,../HiDream-I1/output/full/image_425.png,18.588207
107,../HiDream-I1/output/full/image_426.png,16.958302
107,../HiDream-I1/output/full/image_427.png,18.885023
107,../HiDream-I1/output/full/image_428.png,17.882372
108,../HiDream-I1/output/full/image_429.png,22.698631
108,../HiDream-I1/output/full/image_430.png,22.525446
108,../HiDream-I1/output/full/image_431.png,22.458237
108,../HiDream-I1/output/full/image_432.png,22.031784
109,../HiDream-I1/output/full/image_433.png,21.122696
109,../HiDream-I1/output/full/image_434.png,20.844019
109,../HiDream-I1/output/full/image_435.png,21.365814
109,../HiDream-I1/output/full/image_436.png,21.310436
110,../HiDream-I1/output/full/image_437.png,22.748783
110,../HiDream-I1/output/full/image_438.png,22.790792
110,../HiDream-I1/output/full/image_439.png,22.919392
110,../HiDream-I1/output/full/image_440.png,22.460978
111,../HiDream-I1/output/full/image_441.png,21.536526
111,../HiDream-I1/output/full/image_442.png,21.486843
111,../HiDream-I1/output/full/image_443.png,20.923096
111,../HiDream-I1/output/full/image_444.png,21.463236
112,../HiDream-I1/output/full/image_445.png,22.128498
112,../HiDream-I1/output/full/image_446.png,22.228872
112,../HiDream-I1/output/full/image_447.png,22.237741
112,../HiDream-I1/output/full/image_448.png,21.950914
113,../HiDream-I1/output/full/image_449.png,23.031595
113,../HiDream-I1/output/full/image_450.png,23.103466
113,../HiDream-I1/output/full/image_451.png,23.219116
113,../HiDream-I1/output/full/image_452.png,22.890608
114,../HiDream-I1/output/full/image_453.png,22.163443
114,../HiDream-I1/output/full/image_454.png,22.179092
114,../HiDream-I1/output/full/image_455.png,23.041206
114,../HiDream-I1/output/full/image_456.png,23.13308
115,../HiDream-I1/output/full/image_457.png,23.454073
115,../HiDream-I1/output/full/image_458.png,22.868622
115,../HiDream-I1/output/full/image_459.png,23.590586
115,../HiDream-I1/output/full/image_460.png,23.256908
116,../HiDream-I1/output/full/image_461.png,21.380196
116,../HiDream-I1/output/full/image_462.png,21.516813
116,../HiDream-I1/output/full/image_463.png,21.650797
116,../HiDream-I1/output/full/image_464.png,21.678822
117,../HiDream-I1/output/full/image_465.png,23.461857
117,../HiDream-I1/output/full/image_466.png,22.22238
117,../HiDream-I1/output/full/image_467.png,22.770943
117,../HiDream-I1/output/full/image_468.png,23.246033
118,../HiDream-I1/output/full/image_469.png,22.037455
118,../HiDream-I1/output/full/image_470.png,21.384289
118,../HiDream-I1/output/full/image_471.png,21.947145
118,../HiDream-I1/output/full/image_472.png,22.07309
119,../HiDream-I1/output/full/image_473.png,22.972404
119,../HiDream-I1/output/full/image_474.png,21.94915
119,../HiDream-I1/output/full/image_475.png,22.731958
119,../HiDream-I1/output/full/image_476.png,21.241596
120,../HiDream-I1/output/full/image_477.png,20.788313
120,../HiDream-I1/output/full/image_478.png,20.453154
120,../HiDream-I1/output/full/image_479.png,21.03336
120,../HiDream-I1/output/full/image_480.png,20.418749
121,../HiDream-I1/output/full/image_481.png,22.656713
121,../HiDream-I1/output/full/image_482.png,22.559128
121,../HiDream-I1/output/full/image_483.png,22.715199
121,../HiDream-I1/output/full/image_484.png,22.575676
122,../HiDream-I1/output/full/image_485.png,22.763096
122,../HiDream-I1/output/full/image_486.png,22.303589
122,../HiDream-I1/output/full/image_487.png,22.78615
122,../HiDream-I1/output/full/image_488.png,21.68801
123,../HiDream-I1/output/full/image_489.png,21.793648
123,../HiDream-I1/output/full/image_490.png,21.969593
123,../HiDream-I1/output/full/image_491.png,21.460041
123,../HiDream-I1/output/full/image_492.png,22.350857
124,../HiDream-I1/output/full/image_493.png,23.744093
124,../HiDream-I1/output/full/image_494.png,22.796907
124,../HiDream-I1/output/full/image_495.png,22.949356
124,../HiDream-I1/output/full/image_496.png,23.389969
125,../HiDream-I1/output/full/image_497.png,22.70826
125,../HiDream-I1/output/full/image_498.png,22.1964
125,../HiDream-I1/output/full/image_499.png,22.546478
125,../HiDream-I1/output/full/image_500.png,22.676247
126,../HiDream-I1/output/full/image_501.png,24.014645
126,../HiDream-I1/output/full/image_502.png,23.720266
126,../HiDream-I1/output/full/image_503.png,23.319654
126,../HiDream-I1/output/full/image_504.png,24.255629
127,../HiDream-I1/output/full/image_505.png,20.971193
127,../HiDream-I1/output/full/image_506.png,21.00125
127,../HiDream-I1/output/full/image_507.png,21.27149
127,../HiDream-I1/output/full/image_508.png,21.23625
128,../HiDream-I1/output/full/image_509.png,21.795713
128,../HiDream-I1/output/full/image_510.png,22.713535
128,../HiDream-I1/output/full/image_511.png,22.428864
128,../HiDream-I1/output/full/image_512.png,22.574053
129,../HiDream-I1/output/full/image_513.png,20.164919
129,../HiDream-I1/output/full/image_514.png,19.503315
129,../HiDream-I1/output/full/image_515.png,21.537775
129,../HiDream-I1/output/full/image_516.png,21.190487
130,../HiDream-I1/output/full/image_517.png,21.629118
130,../HiDream-I1/output/full/image_518.png,21.145895
130,../HiDream-I1/output/full/image_519.png,21.296719
130,../HiDream-I1/output/full/image_520.png,21.127924
131,../HiDream-I1/output/full/image_521.png,22.424461
131,../HiDream-I1/output/full/image_522.png,21.992092
131,../HiDream-I1/output/full/image_523.png,22.664408
131,../HiDream-I1/output/full/image_524.png,21.960249
132,../HiDream-I1/output/full/image_525.png,20.95914
132,../HiDream-I1/output/full/image_526.png,20.439142
132,../HiDream-I1/output/full/image_527.png,20.941944
132,../HiDream-I1/output/full/image_528.png,21.049334
133,../HiDream-I1/output/full/image_529.png,22.507854
133,../HiDream-I1/output/full/image_530.png,22.036179
133,../HiDream-I1/output/full/image_531.png,22.721676
133,../HiDream-I1/output/full/image_532.png,22.171007
134,../HiDream-I1/output/full/image_533.png,23.450113
134,../HiDream-I1/output/full/image_534.png,22.960897
134,../HiDream-I1/output/full/image_535.png,23.346924
